time_us,pwm,pos
60702992,163,-5052.0
60802996,163,-4978.0
60903004,177,-4904.0
61003008,177,-4825.0
61103008,177,-4745.0
61203012,177,-4665.0
61303016,177,-4584.0
61403016,177,-4504.0
61503016,177,-4423.0
61603020,-74,-4343.0
61703020,-74,-4358.0
61803028,-74,-4391.0
61903032,-74,-4423.0
62003040,-74,-4456.0
62103040,-74,-4488.0
62203040,-74,-4521.0
62303040,-213,-4553.0
62403048,-213,-4636.0
62503052,-213,-4732.0
62603052,-213,-4827.0
62703052,-213,-4923.0
62803060,-213,-5018.0
62903060,-213,-5114.0
63003064,-73,-5209.0
63103068,-73,-5255.0
63203076,-73,-5287.0
63303084,-73,-5319.0
63403088,-73,-5352.0
63503096,-73,-5384.0
63603096,-73,-5416.0
63703100,-170,-5449.0
63803108,-170,-5516.0
63903112,-170,-5592.0
64003116,-170,-5668.0
64103116,-170,-5745.0
64203116,-170,-5821.0
64303124,-170,-5897.0
64403124,-166,-5973.0
64503132,-166,-6048.0
64603136,-166,-6122.0
64703140,-166,-6196.0
64803148,-166,-6271.0
64903152,-166,-6345.0
65003156,-166,-6419.0
65103160,123,-6494.0
65203160,123,-6460.0
65303160,123,-6404.0
65403164,123,-6349.0
65503164,123,-6293.0
65603164,123,-6238.0
65703168,123,-6182.0
65803176,-68,-6127.0
65903176,-68,-6143.0
66003176,-68,-6173.0
66103176,-68,-6203.0
66203176,-68,-6233.0
66303180,-68,-6262.0
66403188,-68,-6292.0
66503188,237,-6322.0
66603200,237,-6241.0
66703208,237,-6134.0
66803216,237,-6026.0
66903216,237,-5919.0
67003216,237,-5811.0
67103224,237,-5703.0
67203224,254,-5595.0
67303228,254,-5482.0
67403228,254,-5366.0
67503236,254,-5250.0
67603240,254,-5135.0
67703240,254,-5019.0
67803248,254,-4904.0
67903248,-220,-4788.0
68003252,-220,-4844.0
68103252,-220,-4943.0
68203260,-220,-5041.0
68303264,-220,-5140.0
68403268,-220,-5238.0
68503272,-220,-5337.0
68603272,196,-5436.0
68703276,196,-5380.0
68803280,196,-5290.0
68903280,196,-5200.0
69003288,196,-5111.0
69103288,196,-5021.0
69203288,196,-4932.0
69303288,-183,-4842.0
69403288,-183,-4893.0
69503288,-183,-4975.0
69603288,-183,-5057.0
69703296,-183,-5139.0
69803296,-183,-5221.0
69903304,-183,-5303.0
70003304,-103,-5385.0
70103304,-103,-5438.0
70203312,-103,-5484.0
70303312,-103,-5530.0
70403316,-103,-5576.0
70503316,-103,-5622.0
70603316,-103,-5668.0
70703324,-119,-5714.0
70803332,-119,-5765.0
70903332,-119,-5818.0
71003332,-119,-5872.0
71103340,-119,-5925.0
71203344,-119,-5978.0
71303344,-119,-6031.0
71403348,-135,-6084.0
71503352,-135,-6143.0
71603352,-135,-6202.0
71703352,-135,-6262.0
71803352,-135,-6322.0
71903360,-135,-6381.0
72003364,-135,-6441.0
72103372,207,-6501.0
72203372,207,-6435.0
72303380,207,-6341.0
72403388,207,-6247.0
72503388,207,-6153.0
72603388,207,-6059.0
72703388,207,-5965.0
72803392,-158,-5871.0
72903396,-158,-5912.0
73003396,-158,-5983.0
73103396,-158,-6053.0
73203404,-158,-6124.0
73303408,-158,-6195.0
73403408,-158,-6266.0
73503416,-184,-6336.0
73603436,-184,-6417.0
73703440,-184,-6499.0
73803448,-184,-6582.0
73903448,-184,-6664.0
74003448,-184,-6747.0
74103452,-184,-6830.0
74203456,122,-6912.0
74303456,122,-6880.0
74403456,122,-6825.0
74503456,122,-6770.0
74603456,122,-6714.0
74703456,122,-6659.0
74803460,122,-6604.0
74903460,-88,-6549.0
75003468,-88,-6574.0
75103468,-88,-6613.0
75203472,-88,-6652.0
75303476,-88,-6691.0
75403476,-88,-6730.0
75503480,-88,-6769.0
75603484,194,-6808.0
75703488,194,-6743.0
75803496,194,-6655.0
75903496,194,-6566.0
76003496,194,-6478.0
76103500,194,-6390.0
76203508,194,-6302.0
76303508,-114,-6213.0
76403512,-114,-6240.0
76503520,-114,-6291.0
76603520,-114,-6342.0
76703520,-114,-6393.0
76803528,-114,-6444.0
76903536,-114,-6495.0
77003540,229,-6546.0
77103544,229,-6470.0
77203552,229,-6366.0
77303556,229,-6262.0
77403556,229,-6157.0
77503564,229,-6053.0
77603568,229,-5949.0
77703568,-243,-5845.0
77803572,-243,-5913.0
77903576,-243,-6022.0
78003584,-243,-6131.0
78103592,-243,-6240.0
78203596,-243,-6348.0
78303600,-243,-6457.0
78403600,154,-6566.0
78503600,154,-6528.0
